code	name	total	0-9	9-19	19-29	29-39	39-49	49-59	59-69	69-79	80+
130270	Manicoré	56583	12407	10591	11128	8576	5999	3939	2255	1181	507
130280	Maraã	18261	4702	4184	3677	2537	1459	923	452	241	86
130290	Maués	65040	16625	13139	11582	8762	6093	4142	2804	1181	712
130300	Nhamundá	21443	4603	3705	3920	3152	2487	1732	992	566	286
130310	Nova Olinda do Norte	38026	8269	7330	7389	5875	3994	2652	1501	630	386
130320	Novo Airão	19928	4379	3720	3540	2950	2248	1561	925	411	194
130330	Novo Aripuanã	26046	5193	4569	5082	4246	3004	1978	1138	571	265
130340	Parintins	115363	24998	22030	21356	16486	12258	8428	5518	2844	1445
130350	Pauini	19522	4913	4352	3613	2875	1701	1048	595	314	111
130353	Presidente Figueiredo	37193	7539	7059	7321	5070	4176	3147	1958	722	201
130356	Rio Preto da Eva	34106	6245	6377	6436	5246	4274	2797	1683	789	259
130360	Santa Isabel do Rio Negro	25865	7798	6140	4242	3077	2009	1285	683	431	200
130370	Santo Antônio do Içá	21243	5643	4239	4193	3071	1791	1109	682	346	169
130380	São Gabriel da Cachoeira	46303	10825	9811	8394	5849	4548	3288	1917	1176	495
130390	São Paulo de Olivença	40073	9907	8047	7513	5536	3637	2796	1364	891	382
130395	São Sebastião do Uatumã	14352	3374	2894	2696	2075	1556	981	494	213	69
130400	Silves	9230	2237	1695	1625	1141	1020	715	480	221	96
130406	Tabatinga	67182	15954	14487	12033	9486	6711	4404	2428	1182	497
130410	Tapauá	17015	3699	3118	3158	2561	1689	1270	911	426	183
130420	Tefé	59547	13981	12362	10604	8622	6064	3764	2307	1276	567
130423	Tonantins	18897	5027	4029	3766	2687	1505	950	521	285	127
130426	Uarini	13690	3658	2891	2533	1823	1284	725	442	246	88
130430	Urucará	16130	3727	2978	2792	1991	1771	1351	830	478	212
130440	Urucurituba	23585	5505	4399	4486	3568	2340	1571	982	472	262
140005	Alto Alegre	15380	3985	2977	2506	1920	1465	1227	802	369	129
140002	Amajari	13185	3788	2633	2287	1720	1257	794	475	174	57
140010	Boa Vista	419652	67830	70109	83611	80216	55151	33627	18722	7677	2709
140015	Bonfim	12557	3097	2331	2347	1530	1278	890	705	281	98
140017	Cantá	18799	4084	2991	3325	2620	2284	1783	1082	493	137
140020	Caracaraí	22283	4372	3701	4452	3624	2784	1800	1008	417	125
140023	Caroebe	10383	2018	1599	1928	1865	1339	869	461	236	68
140028	Iracema	12296	2433	1951	2319	2138	1619	1016	538	219	63
140030	Mucajaí	18172	3402	2864	3454	3086	2322	1548	917	442	137
140040	Normandia	11532	3370	2477	2280	1330	864	571	358	200	82
140045	Pacaraima	18913	4912	3503	3691	2521	2021	1210	691	275	89
140047	Rorainópolis	30782	5325	4917	6542	6063	3503	2335	1328	611	158
140050	São João da Baliza	8348	1581	1402	1618	1584	1026	607	319	169	42
140060	São Luiz	8110	1158	1062	1724	1790	1054	655	417	187	63
140070	Uiramutã	10789	3573	2457	1893	1270	697	458	260	121	60
150010	Abaetetuba	159080	25279	28026	30665	27475	19836	13116	8363	4374	1946
150013	Abel Figueiredo	7486	1227	1358	1336	1144	923	738	419	244	97
150020	Acará	55669	11020	11109	10447	8093	6211	4451	2425	1362	551
150030	Afuá	39567	9191	8575	7685	5386	3776	2397	1505	717	335
150034	Água Azul do Norte	27615	3846	4932	5649	5503	4047	2158	955	408	117
150040	Alenquer	57092	11878	10576	10098	7992	6650	4340	3063	1674	821
150050	Almeirim	34076	6679	6644	6401	4792	3869	2778	1798	796	319
150060	Altamira	115969	18656	21857	21261	18682	14558	10240	6484	2990	1241
150070	Anajás	29688	7517	6780	5483	3939	2653	1580	1023	499	214
150080	Ananindeua	535547	69599	90083	94627	92381	78453	54857	34856	15225	5466
150085	Anapu	28607	5810	5622	5342	4564	3377	2029	1177	524	162
150090	Augusto Corrêa	46471	10018	9268	8685	6681	4809	3313	2118	1116	463
150095	Aurora do Pará	31773	5789	5687	6297	5313	3824	2419	1411	754	279
150100	Aveiro	16404	3549	3118	3104	2088	1647	1280	917	481	220
150110	Bagre	31325	7872	6770	6381	4375	2854	1569	930	421	153
150120	Baião	48459	8907	9301	9510	8104	5779	3396	2086	978	398
150125	Bannach	3262	527	541	498	465	440	342	265	138	46
150130	Barcarena	127027	21974	23834	25135	21802	15278	9986	5662	2404	952
150140	Belém	1499641	175157	236013	238451	253682	227034	170154	114591	58381	26178
150145	Belterra	17839	3304	3145	3091	2383	2224	1642	1116	622	312
150150	Benevides	63768	9659	11605	11922	10558	8901	5740	3318	1442	623
150157	Bom Jesus do Tocantins	17118	2750	3000	2999	2772	2257	1688	946	507	199
150160	Bonito	16530	3113	3158	2962	2892	2040	1177	722	317	149
150170	Bragança	128914	22950	24078	23051	21430	15536	10326	6551	3413	1579
150172	Brasil Novo	14983	2395	2451	2517	2232	1992	1645	987	538	226
150175	Brejo Grande do Araguaia	7368	1261	1303	1282	1079	908	685	495	245	110
150178	Breu Branco	67332	13561	13373	13047	10383	7245	4609	3049	1516	549
150180	Breves	103497	23462	21916	19159	14148	10356	6651	4542	2224	1039
150190	Bujaru	29427	5823	5819	5533	4341	3379	2188	1287	734	323
